train_no,train_name,source_station_name,destination_station_name,distance,timetotravel,Base_Fare,source_state,destination_state
2731.0,HYB-JP HSP,HYDERABAD DECCAN,JAIPUR .,1375.783,26.425,615.3959138037302,Telangana,Rajasthan
2732.0,JP-HYB SPECI,JAIPUR .,HYDERABAD DECCAN,1446.128,26.70305556,542.7376638257117,Rajasthan,Telangana
2821.0,PUNE-SRC AC,PUNE .,SANTRAGACHI .,1864.469,32.46694444,140.57853149174676,Unknown,Unknown
2822.0,SRC-PUNE  AC,SANTRAGACHI .,PUNE .,1860.365,32.65972222,514.7110615243615,Unknown,Unknown
2833.0,RJT-SRC SF A,RAJKOT,SANTRAGACHI .,2243.978,40.01777778,619.8859586888867,Unknown,Unknown
2834.0,SRC-RJT SF A,SANTRAGACHI .,RAJKOT,2245.777,39.52972222,638.5277883342288,Unknown,Unknown
2841.0,SRC MAS SPL,SANTRAGACHI .,CHENNAI CENTRAL,1654.693,29.43277778,441.6370789213819,Unknown,Tamil Nadu
2842.0,MAS SRC SPL,CHENNAI CENTRAL,SANTRAGACHI .,1653.602,29.29138889,352.62501751541885,Tamil Nadu,Unknown
2845.0,PUNE HTE SPL,PUNE .,HATIA,1622.953,27.76861111,173.2963372222686,Unknown,Unknown
2846.0,HTE-PUNE SPL,HATIA,PUNE .,1622.965,28.15694444,323.59443432987547,Unknown,Unknown
3101.0,KOAA PURI SP,KOLKATA,PURI,477.943,9.245833333,627.2777602286858,West Bengal,Unknown
3102.0,PURI KOAA SP,PURI,KOLKATA,477.596,9.365277778,607.2660009123607,Unknown,West Bengal
3301.0,ASN-DHN MEMU,ASANSOL MAIN,DHANBAD .,63.476,1.433055556,441.816828480825,Unknown,Unknown
3302.0,DHN-ASN MEMU,DHANBAD .,ASANSOL MAIN,63.508,1.434444444,181.15230953265515,Unknown,Unknown
3305.0,DHN-KUSUNDA,DHANBAD .,KUSUNDA,1236.00996,15.4501245,280.1683276998476,Unknown,Unknown
3306.0,KUSUNDA-DHN,KUSUNDA,DHANBAD .,1851.561047,23.14451308,594.0970179752907,Unknown,Unknown
3307.0,SZE-PLJE MEM,SONARDIH,PHULWARTANR,6.387,0.26,216.89990616720056,Unknown,Unknown
3308.0,PLJE-SZE MEM,PHULWARTANR,SONARDIH,6.359,0.254444444,582.1674027973477,Unknown,Unknown
3501.0,JSME-ANVT BI,JASIDIH .,ANAND VIHAR TERMINAL,1267.786,19.49388889,241.37796226185472,Unknown,Unknown
3502.0,ANVT-JSME BI,ANAND VIHAR TERMINAL,JASIDIH .,1270.736,19.57555556,614.1196356090768,Unknown,Unknown
4401.0,ANVT-UHP EXP,ANAND VIHAR TERMINAL,SHRI MATA VAISHNO DEVI KATRA,686.297,13.63305556,664.6363994242072,Unknown,Jammu and Kashmir
4402.0,UHP-ANVT EXP,SHRI MATA VAISHNO DEVI KATRA,ANAND VIHAR TERMINAL,683.36,13.37416667,625.7886369115414,Jammu and Kashmir,Unknown
4409.0,DLI-SVDK SPL,DELHI .,SHRI MATA VAISHNO DEVI KATRA,667.546,13.12361111,254.44310785996245,Delhi,Jammu and Kashmir
4410.0,SVDK-DLI SPL,SHRI MATA VAISHNO DEVI KATRA,DELHI .,664.298,12.90722222,375.6160493968883,Jammu and Kashmir,Delhi
4419.0,MAO-NZM WINT,MADGOAN .,HAZRAT NIZAMUDDIN,1946.71,33.50138889,469.5002981833422,Goa,Unknown
4420.0,NZM-MAO WINT,HAZRAT NIZAMUDDIN,MADGOAN .,1987.883,33.59277778,448.5893433943422,Unknown,Goa
4735.0,BKN - HW EXP,BIKANER .,HARIDWAR,605.618,10.87083333,577.9016515062599,Unknown,Unknown
4736.0,HW - BKN EXP,HARIDWAR,BIKANER .,618.377,10.76361111,697.3859772643912,Unknown,Unknown
4767.0,HMH-SGNR SPL,HANUMANGARH .,SHRI GANGANAGAR,62.198,1.402777778,686.3628355208899,Unknown,Unknown
4768.0,SGNR-HMH SPL,SHRI GANGANAGAR,HANUMANGARH .,62.13,1.379166667,162.01954360771344,Unknown,Unknown
4769.0,HMH SGNR PAS,HANUMANGARH .,SHRI GANGANAGAR,62.198,1.402777778,121.21715649864647,Unknown,Unknown
4770.0,SGNR HMH PAS,SHRI GANGANAGAR,HANUMANGARH .,62.13,1.379166667,371.0756843292482,Unknown,Unknown
4771.0,SDLP-SGNR SP,SADULPUR,SHRI GANGANAGAR,245.419,4.761111111,285.1755533162094,Unknown,Unknown
4772.0,SGNR-SDLP SP,SHRI GANGANAGAR,SADULPUR,248.425,4.683888889,600.2460537229507,Unknown,Unknown
4773.0,SGNR SOG SPL,SHRI GANGANAGAR,SURATGARH .,70.071,1.276388889,109.51217525904832,Unknown,Unknown
4774.0,SOG SGNR SPL,SURATGARH .,SHRI GANGANAGAR,70.099,1.31,248.30581079808772,Unknown,Unknown
4801.0,PBC MKN PASS,PARVATSAR CITY,MAKRANA .,24.066,0.6025,266.34901150485746,Unknown,Unknown
4802.0,MKN PBC PASS,MAKRANA .,PARVATSAR CITY,24.04,0.593888889,411.22122643161896,Unknown,Unknown
4831.0,JU HW SPL,JODHPUR .,HARIDWAR,771.337,13.70361111,119.85916737108236,Unknown,Unknown
4832.0,HW JU SPL,HARIDWAR,JODHPUR .,768.237,13.54916667,278.4635316978948,Unknown,Unknown
4851.0,MTD RTGH SPL,MERTA ROAD .,RATANAGARH,214.052,3.946944444,403.3586928880695,Unknown,Unknown
4852.0,RTGH MTD SPL,RATANAGARH,MERTA ROAD .,213.877,3.944166667,80.65639554442183,Unknown,Unknown
4853.0,RTGH CUR SPL,RATANAGARH,CHURU,47.099,0.994722222,694.4722445862938,Unknown,Unknown
4854.0,CUR RTGH SPL,CHURU,RATANAGARH,47.002,0.995833333,667.145052612903,Unknown,Unknown
4921.0,SRE-UMB MEMU,SAHARANPUR .,AMBALA CANTT,94.463,2.052222222,92.21282260252288,Unknown,Unknown
4922.0,UMB-SRE MEMU,AMBALA CANTT,SAHARANPUR .,94.354,2.032222222,444.52587248251183,Unknown,Unknown
4991.0,PTK-JAT DEMU,PATHANKOT .,JAMMU TAWI,107.684,2.6475,646.9257533757053,Unknown,Unknown
4992.0,JAT-PTK DEMU,JAMMU TAWI,PATHANKOT .,102.485,2.513888889,424.1556448842707,Unknown,Unknown
5061.0,GKP - BNY SP,GORAKHPUR .,BARHNI,121.781,3.2625,256.14055472869813,Unknown,Unknown
5062.0,BNY - GKP SP,BARHNI,GORAKHPUR .,121.638,3.156111111,515.0587401395998,Unknown,Unknown
5065.0,CPR-LJN,CHHAPRA .,LUCKNOW .,488.842,7.656944444,437.536242956932,Unknown,Uttar Pradesh
5066.0,LJN-CPR-EXP,LUCKNOW .,CHHAPRA .,488.577,7.858333333,194.40460391409363,Uttar Pradesh,Unknown
5105.0,GKP-BST SPL,GORAKHPUR .,BASTI,1545.491592,19.3186449,319.3026766153406,Unknown,Unknown
5106.0,BST-GKP SPL,BASTI,GORAKHPUR .,1166.426675,14.58033344,652.0618212920485,Unknown,Unknown
5305.0,CPA-FBD EXP,KANPUR ANWARGANJ,FARRUKHABAD,144.754,3.011388889,290.06689942520524,Unknown,Unknown
5306.0,FBD- CPA EXP,FARRUKHABAD,KANPUR ANWARGANJ,149.053,3.065,412.599524836394,Unknown,Unknown
5309.0,BC-LKU SPL,BAREILLY CITY,LALKUA .,82.743,1.725,569.0562950808303,Unknown,Unknown
5310.0,LKU-BC EXP,LALKUA .,BAREILLY CITY,82.074,1.693611111,98.1354055829742,Unknown,Unknown
5521.0,JMP-SHC SPEC,JAMALPUR .,SAHARSA .,84.713,2.805277778,629.8892359404277,Unknown,Unknown
5522.0,SHC-JMP SPEC,SAHARSA .,JAMALPUR .,84.616,2.740833333,571.008612231435,Unknown,Unknown
5613.0,JLWC-KOTA SP,JHALAWAR CITY,KOTA,89.265,1.908888889,123.84644250070956,Unknown,Unknown
5614.0,KOTA-JLWC SP,KOTA,JHALAWAR CITY,89.279,1.941111111,225.7774233500656,Unknown,Unknown
5619.0,NLP - MZS PA,NORTH LAKHIMPUR,MURKEONG SELEK,697.276364,8.715954551,522.2482705490163,Unknown,Unknown
5620.0,MZS - NLP PA,MURKEONG SELEK,NORTH LAKHIMPUR,1066.284313,13.32855392,575.9345382253123,Unknown,Unknown
5631.0,GHY - SCL PA,GUWAHATI,SILCHAR,301.958,9.530555556,505.8616150187881,Unknown,Unknown
5632.0,SCL - GHY PA,SILCHAR,GUWAHATI,301.971,9.283888889,640.1205756668883,Unknown,Unknown
5715.0,GAREEB NAWAZ,NEW JALPAIGURI,KISHANGANJ,106.404,2.368333333,450.7852714737247,Unknown,Unknown
5716.0,GAREEB NAWAZ,KISHANGANJ,NEW JALPAIGURI,106.909,2.398611111,408.18396941705225,Unknown,Unknown
5719.0,KIR - SGUJ D,KATIHAR .,SILIGURI .,195.663,4.205,669.3345270360907,Unknown,Unknown
5720.0,SGUJ - KIR D,SILIGURI .,KATIHAR .,196.086,4.220833333,659.8121301155325,Unknown,Unknown
5863.0,RNY - RPAN P,RANGIYA .,RANGAPARA NORTH,155.076,3.823055556,654.5582775604088,Unknown,Unknown
5864.0,RPAN - RNY P,RANGAPARA NORTH,RANGIYA .,155.077,3.775555556,155.72052212651266,Unknown,Unknown
5865.0,RNY - MZS PA,RANGIYA .,MURKEONG SELEK,1866.425539,23.33031924,95.66371435005598,Unknown,Unknown
5866.0,MZS - RNY PA,MURKEONG SELEK,RANGIYA .,1635.428721,20.44285901,170.28893392713164,Unknown,Unknown
6001.0,MS-TEN SPECI,CHENNAI EGMORE,TIRUNELVELI,621.565,10.14194444,437.3190190401452,Tamil Nadu,Unknown
6002.0,TEN - MS SPE,TIRUNELVELI,CHENNAI EGMORE,622.222,9.994444444,269.1220868665933,Unknown,Tamil Nadu
6006.0,ERS-MAS SPL,ERNAKULAM.,CHENNAI CENTRAL,685.771,12.52166667,147.33957850225346,Unknown,Tamil Nadu
6009.0,SRC-PDY SPL,SANTRAGACHI .,PONDICHERRY,1809.721,31.78444444,170.01702107165707,Unknown,Unknown
6010.0,PDY-SRC SPL,PONDICHERRY,SANTRAGACHI .,1812.002,31.83694444,402.6522374882513,Unknown,Unknown
6041.0,MAS-QLN SPEC,CHENNAI CENTRAL,QUILON,741.8,14.16138889,609.3857856356389,Tamil Nadu,Unknown
6042.0,QLN-MAS SPEC,QUILON,CHENNAI CENTRAL,740.493,13.88666667,92.8114218218978,Unknown,Tamil Nadu
6043.0,MAS-QLN SPL,CHENNAI CENTRAL,QUILON,741.8,14.16138889,321.1814474195771,Tamil Nadu,Unknown
6044.0,QLN-MAS  SPL,QUILON,CHENNAI CENTRAL,740.493,13.88666667,612.5029810769835,Unknown,Tamil Nadu
6046.0,QLN-MAS SPEC,QUILON,CHENNAI CENTRAL,740.493,13.88666667,205.0952454140012,Unknown,Tamil Nadu
6047.0,MAS-QLN SPL,CHENNAI CENTRAL,QUILON,741.8,14.16138889,603.7491051653708,Tamil Nadu,Unknown
6048.0,QLN- MAS SPL,QUILON,CHENNAI CENTRAL,740.493,13.88666667,328.16490246573045,Unknown,Tamil Nadu
6049.0,MS-QLN SPL F,CHENNAI EGMORE,QUILON,738.324,13.98166667,348.1255140770515,Tamil Nadu,Unknown
6050.0,QLN-MS  SPL,QUILON,CHENNAI EGMORE,739.067,13.8,262.62494186405905,Unknown,Tamil Nadu
6053.0,KCVL-MAJN S/,KOCHUVELI,MANGALORE,639.043,16.4675,394.67806429095634,Unknown,Unknown
6054.0,MAJN-KCVL S/,MANGALORE,KOCHUVELI,636.36,16.62,196.6565004321293,Unknown,Unknown
6057.0,SRC-MAS  SPL,SANTRAGACHI .,CHENNAI CENTRAL,1654.693,29.43277778,112.12409598179492,Unknown,Tamil Nadu
6058.0,MAS-SRC  EXP,CHENNAI CENTRAL,SANTRAGACHI .,1653.602,29.29138889,230.3033510441232,Tamil Nadu,Unknown
6065.0,CGL-MDU SPL,CHENGALPATTU,MADURAI,396.107,6.355,565.2521471482052,Unknown,Unknown
6066.0,MDU-CGL SPL,MADURAI,CHENGALPATTU,396.011,6.235833333,314.95950732442094,Unknown,Unknown
6067.0,CGL-CBE TRI-,CHENGALPATTU,COIMBATORE  .,444.943,7.5225,640.4378991019706,Unknown,Unknown
6068.0,CBE-CGL TRI-,COIMBATORE  .,CHENGALPATTU,445.397,7.441666667,491.3497611997734,Unknown,Unknown
6081.0,CBE-POY PASS,COIMBATORE  .,POLLACHI,43.516,1.068333333,254.3583411712478,Unknown,Unknown
6082.0,POY-CBE PASS,POLLACHI,COIMBATORE  .,43.51,1.096666667,525.8393057687292,Unknown,Unknown
6412.0,DSJ-PAY EZHI,DELHI-SAFDAR JANG,PAYYANUR,2315.309,40.54638889,182.6223888416443,Delhi,Unknown
6512.0,MKM-BAND ONE,MARIKUPPAM,BANASWADI,92.619,2.215555556,243.3228425975745,Unknown,Unknown
6513.0,BWT-MKM-MEMU,BANGARPET .,MARIKUPPAM,17.173,0.520833333,180.9052835995741,Unknown,Unknown
6541.0,YPR-PVR WEEK,YESVANTPUR .,PANDHARPUR,639.688,11.14638889,95.66190881830003,Unknown,Unknown
6542.0,PVR-YPR WEEK,PANDHARPUR,YESVANTPUR .,639.189,11.54861111,433.5891345137758,Unknown,Unknown
6547.0,YPR-ERS WEEK,YESVANTPUR .,ERNAKULAM.,531.36,10.93472222,505.6832700359738,Unknown,Unknown
6548.0,ERS-YPR WEEK,ERNAKULAM.,YESVANTPUR .,533.069,10.70805556,187.08343959662045,Unknown,Unknown
6579.0,YPR-VSKP WKY,YESVANTPUR .,VISAKHAPATNAM,1012.506,17.82361111,148.49172311417473,Unknown,Unknown
6580.0,VSKP-YPR WKY,VISAKHAPATNAM,YESVANTPUR .,1009.489,17.97305556,102.0560186200862,Unknown,Unknown
6581.0,YPR-BGM TATK,YESVANTPUR .,BELGAUM,499.977,8.176944444,497.3503161695138,Unknown,Unknown
6582.0,BGM-YPR TATK,BELGAUM,YESVANTPUR .,500.137,8.261111111,672.1025544703994,Unknown,Unknown
6591.0,YPR-HSRA PAS,YESVANTPUR .,HOSUR,48.199,1.683888889,420.4647638391257,Unknown,Unknown
6592.0,HSRA-YPR PAS,HOSUR,YESVANTPUR .,48.028,1.656111111,579.1305438393504,Unknown,Unknown
6593.0,WFD-BYPL DEM,WHITE FIELD,BAIYYAPPANAHALLI,16.585,0.757222222,383.5077580641743,Unknown,Unknown
6594.0,BYPL-WFD DEM,BAIYYAPPANAHALLI,WHITE FIELD,15.934,0.686111111,306.27929376283794,Unknown,Unknown
6595.0,YPR-CBP PASS,YESVANTPUR .,DEVANHALLI,35.224,0.855833333,653.93839861501,Unknown,Unknown
6596.0,CBP-YPR PASS,DEVANHALLI,YESVANTPUR .,35.317,0.861388889,578.1599229826268,Unknown,Unknown
6647.0,KRBA-BSP PAS,KORBA,BILASPUR .,86.093,2.360833333,410.5330524190355,Unknown,Unknown
6648.0,BSP-KRRBA PA,BILASPUR .,KORBA,85.486,2.345,429.1568237440212,Unknown,Unknown
6769.0,PGTN-PLNI PA,PALGHAT TOWN,PALANI,112.345,2.4675,567.7663472075133,Unknown,Unknown
6770.0,PLNI-PGTN PA,PALANI,PALGHAT TOWN,109.841,2.4325,458.4895624390417,Unknown,Unknown
6851.0,KIK-NCR DEMU,KARAIKAL,NAGORE,13.691,0.379166667,169.9304415235438,Unknown,Unknown
6852.0,NCR-KIK DEMU,NAGORE,KARAIKAL,13.756,0.391388889,508.6815659733667,Unknown,Unknown
6853.0,KIK-NCR PASS,KARAIKAL,NAGORE,13.691,0.379166667,442.71031379837626,Unknown,Unknown
6854.0,NCR-KIK PASS,NAGORE,KARAIKAL,13.756,0.391388889,87.92258725169039,Unknown,Unknown
6919.0,UBL-BJP SPL,HUBLI .,BIJAPUR,197.069,3.861944444,256.38047890720145,Unknown,Unknown
6920.0,BJP-UBL SPL,BIJAPUR,HUBLI .,195.799,3.830833333,646.0190727995114,Unknown,Unknown
7005.0,HYB-RXL,HYDERABAD DECCAN,RAXAUL .,1582.628,30.64666667,369.6309072282562,Telangana,Unknown
7006.0,RXL-HYB,RAXAUL .,HYDERABAD DECCAN,1579.097,30.37527778,612.3724875350982,Unknown,Telangana
7007.0,SC-DBG,SECUNDERABAD .,DARBHANGA .,1592.692,29.97222222,353.42127977809383,Unknown,Unknown
7008.0,DBG-SC,DARBHANGA .,SECUNDERABAD .,1594.015,29.82333333,557.5438909013536,Unknown,Unknown
7016.0,KCG-VSKP,KACHEGUDA,VISAKHAPATNAM,616.462,11.00611111,462.6095180418535,Unknown,Unknown
7044.0,VSKP HSP,TIRUPATI,VISAKHAPATNAM,759.244,13.36944444,277.81605742401,Unknown,Unknown
7061.0,COA-VLNK,KAKINADA PORT,VIJAYWADA .,222.006,4.580277778,137.5301108396487,Unknown,Unknown
7062.0,VLNK-BZA,VIJAYWADA .,KAKINADA PORT,221.884,4.568611111,383.3255301362074,Unknown,Unknown
7075.0,HYB-COA,SECUNDERABAD .,KAKINADA TOWN,490.484,9.158888889,111.21498877638852,Unknown,Unknown
7076.0,COA-HYB,KAKINADA TOWN,SECUNDERABAD .,491.873,9.243611111,628.6868808655321,Unknown,Unknown
7109.0,HYB-QLN,HYDERABAD DECCAN,QUILON,1227.472,22.57416667,436.65601715521785,Telangana,Unknown
7110.0,QLN-HYB,QUILON,HYDERABAD DECCAN,1226.267,22.21361111,147.31472168861154,Unknown,Telangana
7113.0,KRMR-QLN,KARIM NAGAR,QUILON,1408.687,25.23722222,374.4089964224461,Unknown,Unknown
7133.0,HYB-GNT-QLN,HYDERABAD DECCAN,QUILON,1227.472,22.57416667,215.36641556134407,Telangana,Unknown
7134.0,QLN-GNT-HYB,QUILON,HYDERABAD DECCAN,1226.267,22.21361111,98.19290052196123,Unknown,Telangana
7141.0,HYB-QLN,HYDERABAD DECCAN,QUILON,1227.472,22.57416667,368.265049304042,Telangana,Unknown
7142.0,QLN-HYB,QUILON,HYDERABAD DECCAN,1226.267,22.21361111,460.30761405159336,Unknown,Telangana
7146.0,TPTY-KCG,TIRUPATI,KACHEGUDA,563.191,9.970277778,90.81779121933354,Unknown,Unknown
7149.0,SC-GHY HSP,SECUNDERABAD .,GUWAHATI,2331.503,45.84138889,627.125719442358,Unknown,Unknown
7211.0,CCT-QLN,KAKINADA TOWN,QUILON,1397.594,25.32722222,566.9534311880784,Unknown,Unknown
7212.0,QLN-COA,QUILON,KAKINADA TOWN,1398.58,25.05277778,414.4218847789791,Unknown,Unknown
7213.0,BZA-QLN,VIJAYWADA .,QUILON,1184.256,21.14027778,360.3992097701312,Unknown,Unknown
7214.0,QLN-BZA,QUILON,VIJAYWADA .,1184.176,20.88111111,441.69619353604696,Unknown,Unknown
7217.0,NS-QLN,NARASAPUR,QUILON,1279.378,23.37666667,464.2518928154821,Unknown,Unknown
7218.0,QLN-NS,QUILON,NARASAPUR,1279.866,23.13972222,235.57146667225064,Unknown,Unknown
7410.0,TPTY-AK,TIRUPATI,AURANGABAD,1092.832,18.50611111,387.61180670909744,Unknown,Maharashtra
7417.0,TPTY-NSL HSP,TIRUPATI,NAGARSOL,1205.587,20.42861111,409.6925043862991,Unknown,Unknown
7418.0,NSL-TPTY HSP,NAGARSOL,TIRUPATI,1185.953,20.36222222,631.1809915885724,Unknown,Unknown
7425.0,KCG--COA HSP,KACHEGUDA,KAKINADA PORT,491.357,9.155277778,363.45789152341234,Unknown,Unknown
7426.0,COA-KCG HSP,KAKINADA PORT,KACHEGUDA,492.253,9.268888889,441.98824507179137,Unknown,Unknown
7429.0,SC-TPTY,SECUNDERABAD .,TIRUPATI,562.783,10.00972222,567.3663942580519,Unknown,Unknown
7430.0,TPTY-SC,TIRUPATI,SECUNDERABAD .,565.963,10.10305556,400.1297807616114,Unknown,Unknown
7431.0,CCT-TPTY,KAKINADA TOWN,TIRUPATI,627.464,11.39055556,79.91880967059731,Unknown,Unknown
7432.0,TPTY-CCT,TIRUPATI,KAKINADA TOWN,630.23,11.37083333,434.3367620093027,Unknown,Unknown
7435.0,COA-HYB,KAKINADA TOWN,SECUNDERABAD .,491.873,9.243611111,678.9785674117954,Unknown,Unknown
7436.0,SC-COA,SECUNDERABAD .,KAKINADA TOWN,490.484,9.158888889,326.7413095733556,Unknown,Unknown
7438.0,KCG-TATA HSP,KACHEGUDA,TATANAGAR,1387.873,25.68888889,309.3987115583752,Unknown,Unknown
7439.0,TATA-KCG HSP,TATANAGAR,KACHEGUDA,1386.668,25.77166667,133.46446614077698,Unknown,Unknown
7487.0,TPTY-VSKP,TIRUPATI,VISAKHAPATNAM,759.244,13.36944444,498.5286366415211,Unknown,Unknown
7505.0,AWB-QLN,AURANGABAD,QUILON,1580.243,28.65333333,395.9923059856408,Maharashtra,Unknown
7509.0,ADB-QLN,ADILABAD,QUILON,1555.061,28.08,217.7897733048892,Unknown,Unknown
7517.0,BIDAR-PVR,BIDAR,PANDHARPUR,269.763,4.960833333,508.3774617548293,Unknown,Unknown
7525.0,NJP - NBQ DE,SILIGURI .,NEW BONGAIGAON  .,258.703,6.440833333,357.9328104574026,Unknown,Unknown
7526.0,NBQ - NJP DE,NEW BONGAIGAON  .,SILIGURI .,258.531,6.258611111,625.2444358567586,Unknown,Unknown
7603.0,KCG-KJM HSP,KACHEGUDA,KRISHNA RAJA PURAM,578.059,9.654444444,317.7508989445183,Unknown,Unknown
7604.0,KJM-KCG HSP,KRISHNA RAJA PURAM,KACHEGUDA,579.177,9.434444444,418.9023711707594,Unknown,Unknown
7607.0,NED-TPTY HOL,NANDED,TIRUPATI,805.298,14.05194444,495.6584784828032,Unknown,Unknown
7608.0,TPTY-NED,TIRUPATI,NANDED,805.58,13.96861111,369.7600160038643,Unknown,Unknown
7613.0,sabarimalai,NIZAMABAD,QUILON,1421.757,25.88,633.3027570396104,Unknown,Unknown
7614.0,sabarimalai,QUILON,NIZAMABAD,1420.723,25.42638889,181.26983417353512,Unknown,Unknown
7644.0,tpty spl,KAKINADA TOWN,TIRUPATI,627.464,11.39055556,184.9311355140848,Unknown,Unknown
7645.0,RU-CCT,RENIGUNTA .,KAKINADA TOWN,617.908,11.06333333,223.6994699408908,Unknown,Unknown
7757.0,SC-BZA  SPL,SECUNDERABAD .,VIJAYWADA .,273.88,4.958611111,537.1116900870372,Unknown,Unknown
7758.0,BZA-SC  SPL,VIJAYWADA .,SECUNDERABAD .,275.983,5.072222222,600.4304242980741,Unknown,Unknown
7941.0,CCT-TPTY HSP,KAKINADA TOWN,RENIGUNTA .,615.34,11.08805556,137.4037683269101,Unknown,Unknown
7942.0,TPTY-COASPL,TIRUPATI,KAKINADA TOWN,630.23,11.37083333,465.29496344136345,Unknown,Unknown
8001.0,KGP-JGM BI-W,KHARAGPUR,JHARGRAM,42.519,1.095555556,152.64607480859965,Unknown,Unknown
